"gene_name","EnsemblID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TIGD1","ENSG00000221944",322.929794289263,-0.0816363878527982,0.136507060642026,-0.598037841184495,0.549814683908952,0.80064536512157
"PURPL","ENSG00000250337",1487.61109812189,-0.0451078482605529,0.075454562853455,-0.597814718616284,0.549963568579285,0.800698289556317
"ZNF184","ENSG00000096654",201.546401205626,-0.10316298547546,0.172612072241487,-0.597657997704431,0.550068156792587,0.80076699953779
"HSF2","ENSG00000025156",443.774699293365,0.0894386904421124,0.149739477954778,0.597295326948605,0.550310223872328,0.800792315552894
"PGRMC2","ENSG00000164040",2701.64197281307,0.0348353559579495,0.0583003889699505,0.597514983577633,0.550163606287077,0.800792315552894
"POM121","ENSG00000196313",2935.5794845832,0.0334386108277233,0.0559968157197919,0.597152005839941,0.550405898986146,0.800792315552894
"OPA1","ENSG00000198836",3261.23929801119,0.0351924965094518,0.0589086579553029,0.597407880793248,0.550235093424739,0.800792315552894
"PCDHA12","ENSG00000251664",75.6437651583439,0.187292074017394,0.313644847432651,0.597146981850584,0.550409252937633,0.800792315552894
"GCAWKR","ENSG00000272808",58.9344724574072,-0.189814832432902,0.317886016824078,-0.597116017650906,0.550429924466188,0.800792315552894
"PSTK","ENSG00000179988",102.655033074283,0.145054011752779,0.243026677205023,0.596864564092313,0.550597807625434,0.800953040557821
"KCNQ5-DT","ENSG00000285844",31.0532579145773,0.248590861148624,0.416573479846856,0.596751529262048,0.550673283625695,0.800979321637375
"FAM193A","ENSG00000125386",713.793520649564,0.0569627696777002,0.0954813763673334,0.596585133613434,0.550784399156226,0.801057431150595
"QPCT","ENSG00000115828",795.465673144751,-0.0536740403212782,0.0900060876635532,-0.596337889076061,0.550949524254035,0.801178785802985
"MBOAT7","ENSG00000125505",2618.21292250228,-0.0304806504233048,0.0511173094946041,-0.596288238263446,0.55098268705416,0.801178785802985
"CHKB-DT","ENSG00000205559",38.2681507769774,-0.233025872229678,0.390908313228528,-0.596113882319636,0.551099150756689,0.801264626027233
"KANK1","ENSG00000107104",1070.3080611697,0.0828965887026122,0.139098243736,0.595957119774602,0.551203873015971,0.801333378797419
"GUK1","ENSG00000143774",1665.51551577727,-0.0353741041195743,0.0593714799473462,-0.595809707808294,0.551302357723672,0.80139305011051
"TOR1A","ENSG00000136827",1523.47188108749,0.0381316312601203,0.0640182572428383,0.595636821469176,0.551417872669397,0.801477462181834
"KRCC1","ENSG00000172086",412.653331788763,-0.0681444439430002,0.114433482417755,-0.595493928029121,0.551513356676354,0.801477916399194
"CACNB4","ENSG00000182389",134.749305736822,-0.126809713480027,0.21295934628433,-0.595464419348463,0.551533075928086,0.801477916399194
"TWSG1","ENSG00000128791",1203.28513212669,-0.045677006183408,0.0767856060520866,-0.594864174835366,0.551934266060828,0.80197738805256
"CDH24","ENSG00000139880",445.579679509124,0.0650584039863057,0.109417604656352,0.594588084711181,0.552118846695058,0.802078524478286
"SAP30BP","ENSG00000161526",2504.609332545,-0.0405889441750315,0.0682559874556686,-0.594657636465864,0.552072344867172,0.802078524478286
"UBAC2-AS1","ENSG00000228889",88.1756126221164,0.145016930921156,0.243952003136029,0.594448617174474,0.552212099531385,0.802130475029868
"PORCN","ENSG00000102312",370.140142205449,0.0870263478181907,0.146463344540875,0.594185173710161,0.552388268070891,0.802180048400964
"TMX1","ENSG00000139921",3768.04454533838,-0.0384407522426827,0.0646962630558314,-0.594172683660402,0.552396621036644,0.802180048400964
"BRD4","ENSG00000141867",2196.81930947502,0.0354604218743584,0.0596890570696201,0.594085810955232,0.55245472057709,0.802180048400964
"TMEM9B-AS1","ENSG00000254860",196.972574001048,0.101839781730591,0.171434999887879,0.594043117200082,0.552483274805018,0.802180048400964
"MAN1B1-DT","ENSG00000268996",80.9716226628692,0.151297145101368,0.254722842649273,0.593967716156843,0.55253370592985,0.802180048400964
"FAM210B","ENSG00000124098",867.420861740576,0.0475032586761512,0.0800200408267367,0.593642019991061,0.552751570029827,0.802297891978226
